"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TRNONCUX","TRNO_CUX","TRNONCUY","TRNO_CUY"
"20191","03901354","41","5","1","26","E","170","D"
"20191","03901354","41","6","1","22","E","190","D"
"20191","03906004","73","0","1","","H","","A"
"20191","03906004","73","1","1","53","E","120","D"
"20191","03906004","73","2","1","9","E","140","D"
"20191","03906004","73","3","1","502","E","150","D"
"20191","03906004","73","4","1","83","E","160","D"
"20191","03906004","73","5","1","24","E","170","D"
"20191","03906004","73","6","1","268","E","180","D"
"20191","03906004","73","7","1","61","E","190","D"
"20191","03906624","45","0","1","","H","","A"
"20191","03906624","45","1","1","12","E","120","D"
"20191","03906624","45","2","1","2","E","140","D"
"20191","03906624","45","3","1","88","E","150","D"
"20191","03906624","45","4","1","8","E","160","D"
"20191","03906624","45","5","1","20","E","170","D"
"20191","03906624","45","6","1","20","E","190","D"
"20191","03912034","64","0","1","","H","","A"
"20191","03912034","64","1","1","26","E","120","D"
"20191","03912034","64","2","1","4","E","140","D"
"20191","03912034","64","3","1","218","E","150","D"
"20191","03912034","64","4","1","36","E","160","D"
"20191","03912034","64","5","1","10","E","170","D"
"20191","03912034","64","6","1","117","E","180","D"
"20191","03912034","64","7","1","27","E","190","D"
"20191","03927144","46","0","1","","H","","A"
"20191","03927144","46","1","1","7","E","120","D"
"20191","03927144","46","2","1","20","E","150","D"
"20191","03927144","46","3","1","5","E","160","D"
"20191","03927144","46","4","1","1","E","170","D"
"20191","03927144","46","5","1","415","E","180","D"
"20191","03927144","46","6","1","2","E","190","D"
"20191","03927304","73","0","1","","H","","A"
"20191","03927304","73","1","1","6","E","120","D"
"20191","03927304","73","2","1","1","E","140","D"
"20191","03927304","73","3","1","42","E","150","D"
"20191","03927304","73","4","1","10","E","160","D"
"20191","03927304","73","5","1","3","E","170","D"
"20191","03927304","73","6","1","793","E","180","D"
"20191","03927304","73","7","1","5","E","190","D"
"20191","03930944","73","0","1","","H","","A"
"20191","03930944","73","1","1","41","E","100","D"
"20191","03930944","73","2","1","11","E","110","D"
"20191","03930944","73","3","1","18","E","120","D"
"20191","03930944","73","4","1","74","E","130","D"
"20191","03930944","73","5","1","3","E","140","D"
"20191","03930944","73","6","1","117","E","150","D"
"20191","03930944","73","7","1","31","E","160","D"
"20191","03930944","73","8","1","9","E","170","D"
"20191","03930944","73","9","1","2331","E","180","D"
"20191","03930944","73","10","1","15","E","190","D"
"20191","03931154","41","0","1","","H","","A"
"20191","03931154","41","1","1","330","E","130","D"
"20191","03944623","62","0","1","","H","","A"
"20191","03944623","62","1","1","35","E","120","D"
"20191","03944623","62","2","1","5","E","140","D"
"20191","03944623","62","3","1","299","E","150","D"
"20191","03944623","62","4","1","49","E","160","D"
"20191","03944623","62","5","1","14","E","170","D"
"20191","03944623","62","6","1","161","E","180","D"
"20191","03944623","62","7","1","37","E","190","D"
"20191","03945203","48","0","1","","H","","A"
"20191","03945203","48","1","1","116","E","100","D"
"20191","03945203","48","2","1","27","E","110","D"
"20191","03945203","48","3","1","45","E","120","D"
"20191","03945203","48","4","1","9","E","140","D"
"20191","03945203","48","5","1","298","E","150","D"
"20191","03945203","48","6","1","78","E","160","D"
"20191","03945203","48","7","1","54","E","170","D"
"20191","03945203","48","8","1","106","E","180","D"
"20191","03945203","48","9","1","67","E","190","D"
"20191","03946493","42","0","1","","H","","A"
"20191","03946493","42","1","1","375","E","100","D"
"20191","03946493","42","2","1","86","E","110","D"
"20191","03946493","42","3","1","100","E","120","D"
"20191","03946493","42","4","1","645","E","130","D"
"20191","03946493","42","5","1","18","E","140","D"
"20191","03946493","42","6","1","949","E","150","D"
"20191","03946493","42","7","1","157","E","160","D"
"20191","03946493","42","8","1","46","E","170","D"
"20191","03946493","42","9","1","508","E","180","D"
"20191","03946493","42","10","1","116","E","190","D"
"20191","03949523","27","0","1","","H","","A"
"20191","03949523","27","1","1","182","E","100","D"
"20191","03949523","27","2","1","69","E","110","D"
"20191","03949523","27","3","1","93","E","120","D"
"20191","03949523","27","4","1","459","E","130","D"
"20191","03949523","27","5","1","17","E","140","D"
"20191","03949523","27","6","1","506","E","150","D"
"20191","03949523","27","7","1","72","E","160","D"
"20191","03949523","27","8","1","40","E","170","D"
"20191","03949523","27","9","1","107","E","180","D"
"20191","03949523","27","10","1","78","E","190","D"
"20191","03949523","27","11","1","109","E","200","D"
"20191","03949523","27","12","1","125","E","210","D"
"20191","03949523","27","13","1","143","E","220","D"
"20191","03952563","9","0","1","","H","","A"
"20191","03952563","9","1","1","7","E","100","D"
"20191","03952563","9","2","1","7","E","110","D"
"20191","03952563","9","3","1","3","E","120","D"
"20191","03952563","9","4","1","22","E","150","D"
"20191","03952563","9","5","1","6","E","160","D"
"20191","03952563","9","6","1","1","E","170","D"
"20191","03952563","9","7","1","452","E","180","D"
"20191","03952563","9","8","1","2","E","190","D"
"20191","03953583","26","0","1","","H","","A"
"20191","03953583","26","1","1","149","E","100","D"
"20191","03953583","26","2","1","55","E","110","D"
"20191","03953583","26","3","1","74","E","120","D"
"20191","03953583","26","4","1","367","E","130","D"
"20191","03953583","26","5","1","14","E","140","D"
"20191","03953583","26","6","1","404","E","150","D"
"20191","03953583","26","7","1","58","E","160","D"
"20191","03953583","26","8","1","32","E","170","D"
"20191","03953583","26","9","1","85","E","180","D"
"20191","03953583","26","10","1","62","E","190","D"
"20191","03966133","44","0","1","","H","","A"
"20191","03966133","44","1","1","33","E","120","D"
"20191","03966133","44","2","1","6","E","140","D"
"20191","03966133","44","3","1","216","E","150","D"
"20191","03966133","44","4","1","21","E","160","D"
"20191","03966133","44","5","1","48","E","170","D"
"20191","03966133","44","6","1","41","E","190","D"
"20191","03966743","52","0","1","","H","","A"
"20191","03966743","52","1","1","1","E","120","D"
"20191","03966743","52","2","1","4","E","130","D"
"20191","03966743","52","3","1","4","E","140","D"
"20191","03966743","52","4","1","7","E","150","D"
"20191","03966743","52","5","1","2","E","160","D"
"20191","03966743","52","6","1","156","E","180","D"
"20191","03966743","52","7","1","1","E","190","D"
"20191","03969043","49","0","1","","H","","A"
"20191","03969043","49","1","1","187","E","100","D"
"20191","03969043","49","2","1","43","E","110","D"
"20191","03969043","49","3","1","50","E","120","D"
"20191","03969043","49","4","1","322","E","130","D"
"20191","03969043","49","5","1","14","E","140","D"
"20191","03969043","49","6","1","471","E","150","D"
"20191","03969043","49","7","1","78","E","160","D"
"20191","03969043","49","8","1","23","E","170","D"
"20191","03969043","49","9","1","254","E","180","D"
"20191","03969043","49","10","1","58","E","190","D"
"20191","03971483","33","0","1","","H","","A"
"20191","03971483","33","1","1","40","E","100","D"
"20191","03971483","33","2","1","12","E","110","D"
"20191","03971483","33","3","1","19","E","120","D"
"20191","03971483","33","4","1","81","E","130","D"
"20191","03971483","33","5","1","3","E","140","D"
"20191","03971483","33","6","1","136","E","150","D"
"20191","03971483","33","7","1","34","E","160","D"
"20191","03971483","33","8","1","10","E","170","D"
"20191","03971483","33","9","1","2562","E","180","D"
"20191","03971483","33","10","1","16","E","190","D"
"20191","03971483","33","11","1","24","E","200","D"
"20191","03971483","33","12","1","35","E","210","D"
"20191","03971483","33","13","1","28","E","220","D"
"20191","03973153","39","0","1","","H","","A"
"20191","03973153","39","1","1","47","E","120","D"
"20191","03973153","39","2","1","8","E","140","D"
"20191","03973153","39","3","1","443","E","150","D"
"20191","03973153","39","4","1","73","E","160","D"
"20191","03973153","39","5","1","21","E","170","D"
"20191","03973153","39","6","1","238","E","180","D"
"20191","03973153","39","7","1","59","E","190","D"
"20191","03973643","49","0","1","","H","","A"
"20191","03973643","49","1","1","21","E","120","D"
"20191","03973643","49","2","1","3","E","140","D"
"20191","03973643","49","3","1","199","E","150","D"
"20191","03973643","49","4","1","33","E","160","D"
"20191","03973643","49","5","1","9","E","170","D"
"20191","03973643","49","6","1","107","E","180","D"
"20191","03973643","49","7","1","28","E","190","D"
"20191","03985673","35","0","1","","H","","A"
"20191","03985673","35","1","1","13","E","120","D"
"20191","03985673","35","2","1","3","E","140","D"
"20191","03985673","35","3","1","82","E","150","D"
"20191","03985673","35","4","1","5","E","160","D"
"20191","03985673","35","5","1","8","E","170","D"
"20191","03985673","35","6","1","12","E","190","D"
"20191","03986913","30","0","1","","H","","A"
"20191","03986913","30","1","1","508","E","100","D"
"20191","03986913","30","2","1","192","E","110","D"
"20191","03987773","19","0","1","","H","","A"
"20191","03987773","19","1","1","79","E","100","D"
"20191","03987773","19","2","1","22","E","110","D"
"20191","03987773","19","3","1","32","E","120","D"
"20191","03987773","19","4","1","208","E","130","D"
"20191","03987773","19","5","1","7","E","140","D"
"20191","03987773","19","6","1","233","E","150","D"
"20191","03987773","19","7","1","22","E","160","D"
"20191","03987773","19","8","1","52","E","170","D"
"20191","03987773","19","9","1","45","E","190","D"
"20191","03988983","54","0","1","","H","","A"
"20191","03988983","54","1","1","5","E","120","D"
"20191","03988983","54","2","1","25","E","130","D"
"20191","03988983","54","3","1","32","E","150","D"
"20191","03988983","54","4","1","8","E","160","D"
"20191","03988983","54","5","1","2","E","170","D"
"20191","03988983","54","6","1","649","E","180","D"
"20191","03988983","54","7","1","4","E","190","D"
"20191","03992553","69","0","1","","H","","A"
"20191","03992553","69","1","1","36","E","120","D"
"20191","03992553","69","2","1","203","E","130","D"
"20191","03992553","69","3","1","5","E","140","D"
"20191","03992553","69","4","1","297","E","150","D"
"20191","03992553","69","5","1","49","E","160","D"
"20191","03992553","69","6","1","14","E","170","D"
"20191","03992553","69","7","1","160","E","180","D"
"20191","03992553","69","8","1","36","E","190","D"
"20191","04006874","29","0","1","","H","","A"
"20191","04006874","29","1","1","4","E","120","D"
"20191","04006874","29","2","1","26","E","130","D"
"20191","04006874","29","3","1","30","E","150","D"
"20191","04006874","29","4","1","8","E","160","D"
"20191","04006874","29","5","1","2","E","170","D"
"20191","04006874","29","6","1","608","E","180","D"
"20191","04006874","29","7","1","3","E","190","D"
"20191","04006874","29","8","1","5","E","200","D"
"20191","04006874","29","9","1","8","E","210","D"
"20191","04006874","29","10","1","6","E","220","D"
"20191","04008062","38","0","1","","H","","A"
"20191","04008062","38","1","1","356","E","100","D"
"20191","04008062","38","2","1","117","E","110","D"
"20191","04008062","38","3","1","192","E","120","D"
"20191","04008062","38","4","1","784","E","130","D"
"20191","04008062","38","5","1","36","E","140","D"
"20191","04008062","38","6","1","1249","E","150","D"
"20191","04008062","38","7","1","344","E","160","D"
"20191","04008062","38","8","1","190","E","170","D"
"20191","04008062","38","9","1","3137","E","180","D"
"20191","04008062","38","10","1","195","E","190","D"
"20191","04009942","51","0","1","","H","","A"
"20191","04009942","51","1","1","123","E","100","D"
"20191","04009942","51","2","1","46","E","110","D"
"20191","04009942","51","3","1","62","E","120","D"
"20191","04009942","51","4","1","316","E","130","D"
"20191","04009942","51","5","1","11","E","140","D"
"20191","04009942","51","6","1","342","E","150","D"
"20191","04009942","51","7","1","49","E","160","D"
"20191","04009942","51","8","1","27","E","170","D"
"20191","04009942","51","9","1","72","E","180","D"
"20191","04009942","51","10","1","52","E","190","D"
"20191","04009942","51","11","1","74","E","200","D"
"20191","04009942","51","12","1","80","E","210","D"
"20191","04009942","51","13","1","96","E","220","D"
"20191","04011312","55","0","1","","H","","A"
"20191","04011312","55","1","1","13","E","120","D"
"20191","04011312","55","2","1","2","E","140","D"
"20191","04011312","55","3","1","124","E","150","D"
"20191","04011312","55","4","1","23","E","160","D"
"20191","04011312","55","5","1","6","E","170","D"
"20191","04011312","55","6","1","67","E","180","D"
"20191","04011312","55","7","1","15","E","190","D"
"20191","04012752","74","0","1","","H","","A"
"20191","04012752","74","1","1","11","E","120","D"
"20191","04012752","74","2","1","5","E","140","D"
"20191","04012752","74","3","1","104","E","150","D"
"20191","04012752","74","4","1","17","E","160","D"
"20191","04012752","74","5","1","5","E","170","D"
"20191","04012752","74","6","1","56","E","180","D"
"20191","04012752","74","7","1","12","E","190","D"
"20191","04013012","66","0","1","","H","","A"
"20191","04013012","66","1","1","96","E","100","D"
"20191","04013012","66","2","1","24","E","110","D"
"20191","04013012","66","3","1","36","E","200","D"
"20191","04013012","66","4","1","81","E","210","D"
"20191","04013012","66","5","1","63","E","220","D"
"20191","04014632","33","0","1","","H","","A"
"20191","04014632","33","1","1","75","E","100","D"
"20191","04014632","33","2","1","21","E","110","D"
"20191","04014632","33","3","1","20","E","120","D"
"20191","04014632","33","4","1","129","E","130","D"
"20191","04014632","33","5","1","3","E","140","D"
"20191","04014632","33","6","1","188","E","150","D"
"20191","04014632","33","7","1","31","E","160","D"
"20191","04014632","33","8","1","9","E","170","D"
"20191","04014632","33","9","1","101","E","180","D"
"20191","04014632","33","10","1","23","E","190","D"
"20191","04014832","28","0","1","","H","","A"
"20191","04014832","28","1","1","15","E","120","D"
"20191","04014832","28","2","1","5","E","140","D"
"20191","04014832","28","3","1","117","E","150","D"
"20191","04014832","28","4","1","9","E","160","D"
"20191","04014832","28","5","1","12","E","170","D"
"20191","04014832","28","6","1","17","E","190","D"
"20191","04015202","72","0","1","","H","","A"
"20191","04015202","72","1","1","30","E","120","D"
"20191","04015202","72","2","1","9","E","140","D"
"20191","04015202","72","3","1","218","E","150","D"
"20191","04015202","72","4","1","13","E","160","D"
"20191","04015202","72","5","1","22","E","170","D"
"20191","04015202","72","6","1","32","E","190","D"
"20191","04016012","18","0","1","","H","","A"
"20191","04016012","18","1","1","34","E","120","D"
"20191","04016012","18","2","1","7","E","140","D"
"20191","04016012","18","3","1","228","E","150","D"
"20191","04016012","18","4","1","22","E","160","D"
"20191","04016012","18","5","1","51","E","170","D"
"20191","04016012","18","6","1","44","E","190","D"
"20191","04016722","32","0","1","","H","","A"
"20191","04016722","32","1","1","48","E","100","D"
"20191","04016722","32","2","1","9","E","110","D"
"20191","04016722","32","3","1","10","E","120","D"
"20191","04016722","32","4","1","69","E","130","D"
"20191","04016722","32","5","1","2","E","140","D"
"20191","04016722","32","6","1","101","E","150","D"
"20191","04016722","32","7","1","16","E","160","D"
"20191","04016722","32","8","1","4","E","170","D"
"20191","04016722","32","9","1","54","E","180","D"
"20191","04016722","32","10","1","12","E","190","D"
"20191","04016722","32","11","1","15","E","200","D"
"20191","04016722","32","12","1","34","E","210","D"
"20191","04016722","32","13","1","26","E","220","D"
"20191","04028022","50","0","1","","H","","A"
"20191","04028022","50","1","1","10","E","150","D"
"20191","04028022","50","2","1","1","E","160","D"
"20191","04028022","50","3","1","119","E","180","D"
"20191","04029852","28","0","1","","H","","A"
"20191","04029852","28","1","1","44","E","120","D"
"20191","04029852","28","2","1","7","E","140","D"
"20191","04029852","28","3","1","221","E","150","D"
"20191","04029852","28","4","1","31","E","160","D"
"20191","04029852","28","5","1","17","E","170","D"
"20191","04029852","28","6","1","46","E","180","D"
"20191","04029852","28","7","1","34","E","190","D"
"20191","04029932","32","0","1","","H","","A"
"20191","04029932","32","1","1","1359","E","100","D"
"20191","04029932","32","2","1","313","E","110","D"
"20191","04029932","32","3","1","364","E","120","D"
"20191","04029932","32","4","1","4278","U","130","D"
"20191","04029932","32","5","1","68","E","140","D"
"20191","04029932","32","6","1","3413","E","150","D"
"20191","04029932","32","7","1","568","E","160","D"
"20191","04029932","32","8","1","167","E","170","D"
"20191","04029932","32","9","1","1838","E","180","D"
"20191","04029932","32","10","1","429","E","190","D"
"20191","04029932","32","11","1","518","E","200","D"
"20191","04029932","32","12","1","1153","E","210","D"
"20191","04029932","32","13","1","896","E","220","D"
"20191","04030632","59","0","1","","H","","A"
"20191","04030632","59","1","1","57","E","120","D"
"20191","04030632","59","2","1","9","E","140","D"
"20191","04030632","59","3","1","498","E","150","D"
"20191","04030632","59","4","1","83","E","160","D"
"20191","04030632","59","5","1","24","E","170","D"
"20191","04030632","59","6","1","268","E","180","D"
"20191","04030632","59","7","1","61","E","190","D"
"20191","04032392","82","0","1","","H","","A"
"20191","04032392","82","1","1","37","E","120","D"
"20191","04032392","82","2","1","6","E","140","D"
"20191","04032392","82","3","1","311","E","150","D"
"20191","04032392","82","4","1","51","E","160","D"
"20191","04032392","82","5","1","15","E","170","D"
"20191","04032392","82","6","1","167","E","180","D"
"20191","04032392","82","7","1","38","E","190","D"
"20191","04033092","27","0","1","","H","","A"
"20191","04033092","27","1","1","28","E","120","D"
"20191","04033092","27","2","1","114","E","130","D"
"20191","04033092","27","3","1","8","E","140","D"
"20191","04033092","27","4","1","192","E","150","D"
"20191","04033092","27","5","1","11","E","160","D"
"20191","04033092","27","6","1","19","E","170","D"
"20191","04033092","27","7","1","28","E","190","D"
"20191","04038052","173","0","1","","H","","A"
"20191","04038052","173","1","1","27","E","120","D"
"20191","04038052","173","2","1","5","E","140","D"
"20191","04038052","173","3","1","257","E","150","D"
"20191","04038052","173","4","1","42","E","160","D"
"20191","04038052","173","5","1","12","E","170","D"
"20191","04038052","173","6","1","138","E","180","D"
"20191","04038052","173","7","1","35","E","190","D"
"20191","04038492","58","0","1","","H","","A"
"20191","04038492","58","1","1","647","E","100","D"
"20191","04038492","58","2","1","242","E","110","D"
"20191","04038492","58","3","1","326","E","120","D"
"20191","04038492","58","4","1","1609","E","130","D"
"20191","04038492","58","5","1","61","E","140","D"
"20191","04038492","58","6","1","1773","E","150","D"
"20191","04038492","58","7","1","254","E","160","D"
"20191","04038492","58","8","1","140","E","170","D"
"20191","04038492","58","9","1","375","E","180","D"
"20191","04038492","58","10","1","273","E","190","D"
"20191","04038492","58","11","1","384","E","200","D"
"20191","04038492","58","12","1","415","E","210","D"
"20191","04038492","58","13","1","501","E","220","D"
"20191","04038612","60","0","1","","H","","A"
"20191","04038612","60","1","1","463","E","100","D"
"20191","04038612","60","2","1","107","E","110","D"
"20191","04038612","60","3","1","162","E","120","D"
"20191","04038612","60","4","1","996","E","130","D"
"20191","04038612","60","5","1","38","E","140","D"
"20191","04038612","60","6","1","1191","E","150","D"
"20191","04038612","60","7","1","312","E","160","D"
"20191","04038612","60","8","1","217","E","170","D"
"20191","04038612","60","9","1","422","E","180","D"
"20191","04038612","60","10","1","268","E","190","D"
"20191","04038612","60","11","1","239","E","200","D"
"20191","04038612","60","12","1","190","E","210","D"
"20191","04038612","60","13","1","895","E","220","D"
"20191","04040252","28","0","1","","H","","A"
"20191","04040252","28","1","1","78","E","100","D"
"20191","04040252","28","2","1","28","E","110","D"
"20191","04040252","28","3","1","176","E","130","D"
"20191","04045952","98","0","1","","H","","A"
"20191","04045952","98","1","1","67","E","120","D"
"20191","04045952","98","2","1","11","E","140","D"
"20191","04045952","98","3","1","598","E","150","D"
"20191","04045952","98","4","1","99","E","160","D"
"20191","04045952","98","5","1","29","E","170","D"
"20191","04045952","98","6","1","322","E","180","D"
"20191","04045952","98","7","1","74","E","190","D"
"20191","04047312","22","0","1","","H","","A"
"20191","04047312","22","1","1","22","E","120","D"
"20191","04047312","22","2","1","4","E","140","D"
"20191","04047312","22","3","1","136","E","150","D"
"20191","04047312","22","4","1","35","E","160","D"
"20191","04047312","22","5","1","25","E","170","D"
"20191","04047312","22","6","1","48","E","180","D"
"20191","04047312","22","7","1","30","E","190","D"
"20191","04069471","35","0","1","","H","","A"
"20191","04069471","35","1","1","38","E","120","D"
"20191","04069471","35","2","1","6","E","140","D"
"20191","04069471","35","3","1","329","E","150","D"
"20191","04069471","35","4","1","54","E","160","D"
"20191","04069471","35","5","1","16","E","170","D"
"20191","04069471","35","6","1","177","E","180","D"
"20191","04069471","35","7","1","40","E","190","D"
"20191","04071991","54","0","1","","H","","A"
"20191","04071991","54","1","1","500","E","130","D"
"20191","04073031","39","0","1","","H","","A"
"20191","04073031","39","1","1","73","E","100","D"
"20191","04073031","39","2","1","25","E","110","D"
"20191","04073031","39","3","1","34","E","120","D"
"20191","04073031","39","4","1","169","E","130","D"
"20191","04073031","39","5","1","6","E","140","D"
"20191","04073031","39","6","1","186","E","150","D"
"20191","04073031","39","7","1","26","E","160","D"
"20191","04073031","39","8","1","14","E","170","D"
"20191","04073031","39","9","1","39","E","180","D"
"20191","04073031","39","10","1","28","E","190","D"
"20191","04073631","19","0","1","","H","","A"
"20191","04073631","19","1","1","24","E","120","D"
"20191","04073631","19","2","1","7","E","140","D"
"20191","04073631","19","3","1","161","E","150","D"
"20191","04073631","19","4","1","9","E","160","D"
"20191","04073631","19","5","1","16","E","170","D"
"20191","04073631","19","6","1","23","E","190","D"
"20191","04075214","22","0","1","","H","","A"
"20191","04075214","22","1","1","50","E","120","D"
"20191","04075214","22","2","1","14","E","140","D"
"20191","04075214","22","3","1","276","E","150","D"
"20191","04075214","22","4","1","39","E","160","D"
"20191","04075214","22","5","1","21","E","170","D"
"20191","04075214","22","6","1","58","E","180","D"
"20191","04075214","22","7","1","42","E","190","D"
"20191","04076071","34","0","1","","H","","A"
"20191","04076071","34","1","1","168","E","100","D"
"20191","04076071","34","2","1","82","E","110","D"
"20191","04076071","34","3","1","87","E","120","D"
"20191","04076071","34","4","1","27","E","140","D"
"20191","04076071","34","5","1","639","E","150","D"
"20191","04076071","34","6","1","39","E","160","D"
"20191","04076071","34","7","1","65","E","170","D"
"20191","04076071","34","8","1","93","E","190","D"
"20191","04077731","85","0","1","","H","","A"
"20191","04077731","85","1","1","56","E","100","D"
"20191","04077731","85","2","1","17","E","110","D"
"20191","04077731","85","3","1","27","E","120","D"
"20191","04077731","85","4","1","115","E","130","D"
"20191","04077731","85","5","1","5","E","140","D"
"20191","04077731","85","6","1","177","E","150","D"
"20191","04077731","85","7","1","47","E","160","D"
"20191","04077731","85","8","1","14","E","170","D"
"20191","04077731","85","9","1","3519","E","180","D"
"20191","04077731","85","10","1","23","E","190","D"
"20191","04078194","35","0","1","","H","","A"
"20191","04078194","35","1","1","2","E","120","D"
"20191","04078194","35","2","1","13","E","150","D"
"20191","04078194","35","3","1","3","E","160","D"
"20191","04078194","35","4","1","5","E","170","D"
"20191","04078194","35","5","1","276","E","180","D"
"20191","04078194","35","6","1","1","E","190","D"
"20191","04078251","42","0","1","","H","","A"
"20191","04078251","42","1","1","62","E","120","D"
"20191","04078251","42","2","1","14","E","140","D"
"20191","04078251","42","3","1","458","E","150","D"
"20191","04078251","42","4","1","119","E","160","D"
"20191","04078251","42","5","1","83","E","170","D"
"20191","04078251","42","6","1","161","E","180","D"
"20191","04078251","42","7","1","103","E","190","D"
"20191","04078981","29","0","1","","H","","A"
"20191","04078981","29","1","1","106","E","120","D"
"20191","04078981","29","2","1","19","E","140","D"
"20191","04078981","29","3","1","1001","E","150","D"
"20191","04078981","29","4","1","166","E","160","D"
"20191","04078981","29","5","1","48","E","170","D"
"20191","04078981","29","6","1","537","E","180","D"
"20191","04078981","29","7","1","123","E","190","D"
"20191","04079581","31","0","1","","H","","A"
"20191","04079581","31","1","1","149","E","120","D"
"20191","04079581","31","2","1","27","E","140","D"
"20191","04079581","31","3","1","1396","E","150","D"
"20191","04079581","31","4","1","232","E","160","D"
"20191","04079581","31","5","1","68","E","170","D"
"20191","04079581","31","6","1","752","E","180","D"
"20191","04079581","31","7","1","176","E","190","D"
"20191","04091031","18","0","1","","H","","A"
"20191","04091031","18","1","1","44","E","120","D"
"20191","04091031","18","2","1","7","E","140","D"
"20191","04091031","18","3","1","224","E","150","D"
"20191","04091031","18","4","1","32","E","160","D"
"20191","04091031","18","5","1","17","E","170","D"
"20191","04091031","18","6","1","47","E","180","D"
"20191","04091031","18","7","1","34","E","190","D"
"20191","04092381","33","0","1","","H","","A"
"20191","04092381","33","1","1","15","E","120","D"
"20191","04092381","33","2","1","1","E","140","D"
"20191","04092381","33","3","1","99","E","150","D"
"20191","04092381","33","4","1","16","E","160","D"
"20191","04092381","33","5","1","4","E","170","D"
"20191","04092381","33","6","1","53","E","180","D"
"20191","04092381","33","7","1","12","E","190","D"
"20191","04092871","28","0","1","","H","","A"
"20191","04092871","28","1","1","8","E","120","D"
"20191","04092871","28","2","1","21","E","150","D"
"20191","04092871","28","3","1","5","E","160","D"
"20191","04092871","28","4","1","1","E","170","D"
"20191","04092871","28","5","1","431","E","180","D"
"20191","04092871","28","6","1","2","E","190","D"
"20191","04094071","30","0","1","","H","","A"
"20191","04094071","30","1","1","36","E","120","D"
"20191","04094071","30","2","1","6","E","140","D"
"20191","04094071","30","3","1","237","E","150","D"
"20191","04094071","30","4","1","64","E","160","D"
"20191","04094071","30","5","1","35","E","170","D"
"20191","04094071","30","6","1","586","E","180","D"
"20191","04094071","30","7","1","36","E","190","D"
"20191","04095291","20","0","1","","H","","A"
"20191","04095291","20","1","1","4","E","100","D"
"20191","04095291","20","2","1","1","E","110","D"
"20191","04095291","20","3","1","5","E","120","D"
"20191","04095291","20","4","1","9","E","130","D"
"20191","04095291","20","5","1","11","E","150","D"
"20191","04095291","20","6","1","2","E","160","D"
"20191","04095291","20","7","1","2","E","170","D"
"20191","04095291","20","8","1","4","E","180","D"
"20191","04095291","20","9","1","2","E","190","D"
"20191","04098471","42","0","1","","H","","A"
"20191","04098471","42","1","1","47","E","120","D"
"20191","04098471","42","2","1","234","E","130","D"
"20191","04098471","42","3","1","9","E","140","D"
"20191","04098471","42","4","1","257","E","150","D"
"20191","04098471","42","5","1","37","E","160","D"
"20191","04098471","42","6","1","23","E","170","D"
"20191","04098471","42","7","1","54","E","180","D"
"20191","04098471","42","8","1","39","E","190","D"
"20191","04099281","17","0","1","","H","","A"
