"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","LSD__AKE","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_","LSD_MAKE"
"20191","03905024","9","0","5","01","D","105","D","2017","D","","A","50","D","06","D","560","D","3","D","","A","","A","1500","D","","A","12","D","560","D","560","D","","A","","A","","A","","A","1500","D","","A","D","","A","2018","D","NIS"
"20191","03905024","10","0","5","02","D","105","D","2010","D","","A","48","D","07","D","260","D","3","D","","A","","A","","A","","A","","A","260","D","260","D","260","D","","A","","A","","A","","A","","A","D","","A","2015","D","CHE"
"20191","03905034","11","0","1","01","D","105","D","2019","D","","A","36","D","01","D","456","D","3","D","","A","","A","2000","D","","A","","A","","A","","A","456","D","","A","","A","","A","2000","D","","A","D","","A","2019","D","HYU"
"20191","03905254","34","0","5","01","D","105","D","2019","D","","A","24","D","10","D","160","D","3","D","","A","","A","3000","D","","A","","A","160","D","160","D","160","D","","A","","A","","A","3000","D","","A","D","","A","2018","D","CHE"
"20191","03905374","13","0","5","01","D","105","D","2018","D","","A","36","D","05","D","213","D","3","D","","A","4400","D","","A","","A","","A","213","D","213","D","213","D","","A","","A","","A","","A","","A","D","","A","2018","D","HYU"
"20191","03905644","22","0","1","01","D","105","D","2007","D","","A","36","D","02","D","250","D","3","D","","A","","A","600","D","","A","","A","250","D","250","D","250","D","","A","","A","","A","600","D","","A","D","","A","2017","D","NIS"
"20191","03905754","28","0","5","01","D","105","D","2016","D","","A","36","D","05","D","238","D","3","D","","A","","A","3000","D","","A","","A","238","D","238","D","238","D","","A","","A","","A","3000","D","","A","D","","A","2016","D","TOY"
"20191","03905774","11","0","5","01","D","105","D","2017","D","","A","24","D","12","D","308","D","3","D","","A","6000","D","","A","","A","","A","308","D","308","D","308","D","","A","","A","","A","","A","","A","D","","A","2016","D","FOR"
"20191","03905934","29","0","1","01","D","105","D","2019","D","","A","24","D","12","D","383","D","3","D","","A","","A","1200","D","","A","","A","","A","383","D","383","D","","A","","A","","A","1200","D","","A","D","","A","2018","D","CHE"
"20191","03905954","18","0","5","01","D","105","D","2018","D","","A","36","D","08","D","284","D","3","D","","A","","A","6000","D","","A","","A","284","D","284","D","284","D","","A","","A","","A","6000","D","","A","D","","A","2018","D","SUB"
"20191","03905984","5","0","1","01","D","105","D","2018","D","","A","1","D","12","D","22E3","D","7","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","D","","A","2017","D","MAZ"
"20191","03906004","28","0","5","01","D","105","D","2016","D","","A","36","D","10","D","229","D","3","D","","A","","A","2000","D","","A","","A","229","D","229","D","229","D","","A","","A","","A","2000","D","","A","D","","A","2016","D","KIA"
"20191","03906104","15","0","5","01","D","105","D","2016","D","","A","39","D","11","D","435","D","3","D","","A","","A","2000","D","","A","","A","435","D","435","D","435","D","","A","","A","","A","2000","D","","A","D","","A","2016","D","MAZ"
"20191","03906234","39","0","5","01","D","105","D","2011","D","","A","36","D","09","D","365","D","3","D","","A","","A","1500","D","","A","","A","365","D","365","D","365","D","","A","","A","","A","1500","D","","A","D","","A","2018","D","NIS"
"20191","03906634","14","0","5","01","D","105","D","2018","D","","A","36","D","03","D","250","D","3","D","","A","","A","2000","D","","A","","A","250","D","250","D","250","D","","A","","A","","A","2000","D","","A","D","","A","2018","D","HON"
"20191","03907454","7","0","5","01","D","105","D","2016","D","","A","36","D","11","D","300","D","3","D","","A","","A","","A","","A","","A","300","D","300","D","300","D","","A","","A","","A","","A","","A","D","","A","2016","D","BMW"
"20191","03907704","19","0","5","01","D","105","D","2017","D","","A","36","D","05","D","500","D","3","D","","A","","A","","A","","A","","A","500","D","500","D","500","D","","A","","A","","A","","A","","A","D","","A","2017","D","TOY"
"20191","03908404","11","0","5","01","D","105","D","2015","D","","A","70","D","05","D","425","D","3","D","","A","","A","","A","","A","","A","425","D","425","D","425","D","","A","","A","","A","","A","","A","D","","A","2016","D","TOY"
"20191","03908614","8","0","5","01","D","105","D","2017","D","","A","36","D","12","D","308","D","3","D","","A","","A","2000","D","","A","","A","308","D","308","D","308","D","","A","","A","","A","2000","D","","A","D","","A","2016","D","CHE"
"20191","03909104","37","0","5","01","D","105","D","2017","D","","A","36","D","11","D","420","D","3","D","","A","","A","1000","D","","A","","A","420","D","420","D","420","D","","A","","A","","A","1000","D","","A","D","","A","2017","D","LIN"
"20191","03909644","19","0","5","01","D","105","D","2017","D","","A","36","D","05","D","348","D","3","D","","A","1000","D","","A","","A","","A","348","D","348","D","348","D","48","D","48","D","48","D","","A","","A","D","","A","2017","D","TOY"
"20191","03910284","6","0","1","01","D","105","D","2013","D","","A","60","D","10","D","380","D","3","D","","A","","A","","A","","A","","A","380","D","380","D","380","D","","A","","A","","A","","A","","A","D","","A","2013","D","TOY"
"20191","03910534","8","0","1","01","D","105","D","2018","D",".40","D","36","D","11","D","179","D","3","D","","A","14000","D","","A","","A","","A","179","D","179","D","179","D","","A","","A","","A","","A","","A","D","","A","2017","D","JEE"
"20191","03910764","17","0","5","01","D","105","D","2018","D","","A","36","D","03","D","450","D","3","D","","A","","A","","A","","A","","A","450","D","450","D","450","D","","A","","A","","A","","A","","A","D","","A","2018","D","TOY"
"20191","03911014","17","0","5","01","D","105","D","2016","D","","A","36","D","06","D","387","D","3","D","","A","","A","783","D","","A","","A","387","D","387","D","387","D","","A","","A","","A","783","D","","A","D","","A","2016","D","FOR"
"20191","03911334","23","0","5","01","D","105","D","2017","D","","A","36","D","11","D","213","D","3","D","","A","","A","","A","","A","","A","213","D","213","D","213","D","","A","","A","","A","","A","","A","D","","A","2017","D","FOR"
"20191","03912254","17","0","5","02","D","105","D","2019","D","","A","36","D","12","D","360","D","3","D","","A","","A","","A","","A","","A","","A","360","D","360","D","","A","","A","","A","","A","","A","D","","A","2018","D","SUB"
"20191","03923344","9","0","5","01","D","105","D","2017","D","","A","36","D","02","D","300","D","3","D","","A","","A","","A","","A","","A","300","D","300","D","300","D","","A","","A","","A","","A","","A","D","","A","2017","D","SUB"
"20191","03923394","8","0","5","01","D","105","D","2019","D","","A","","C","01","F","680","D","3","D","","A","","A","","A","","A","12","D","680","D","680","D","680","D","","A","","A","","A","","A","","A","D","","A","2015","F","AUD"
"20191","03923394","9","0","5","02","D","105","D","2019","D","","A","","C","04","F","720","D","3","D","","A","","A","","A","","A","","A","720","D","720","D","720","D","","A","","A","","A","","A","","A","D","","A","2018","F","DOD"
"20191","03923394","10","0","1","03","D","105","D","2019","D","","A","","C","01","D","600","D","3","D","","A","","A","","A","","A","","A","","A","600","D","600","D","","A","","A","","A","","A","","A","D","","A","2019","D","GMC"
"20191","03923394","11","0","1","04","D","105","D","2019","D","","A","","C","01","D","600","D","3","D","","A","","A","","A","","A","","A","","A","600","D","600","D","","A","","A","","A","","A","","A","D","","A","2019","D","DOD"
"20191","03923484","20","0","5","01","D","105","D","2016","D","","A","36","D","07","D","286","D","3","D","","A","","A","2500","D","","A","01","D","286","D","286","D","286","D","","A","","A","","A","2500","D","944","D","D","","A","2015","D","MAZ"
"20191","03923484","21","0","1","02","D","105","D","2018","D","","A","39","D","02","D","355","D","3","D","","A","","A","","A","","A","","A","","A","","A","355","D","","A","","A","","A","","A","","A","D","","A","2019","D","MAZ"
"20191","03923554","14","0","5","01","D","105","D","2016","D","","A","36","D","02","D","424","D","3","D","","A","","A","1500","D","","A","","A","424","D","424","D","424","D","","A","","A","","A","1500","D","","A","D","","A","2016","D","HON"
"20191","03923764","13","0","5","01","D","105","D","2015","D","","A","36","D","08","D","141","D","3","D","","A","","A","3000","D","","A","","A","141","D","141","D","141","D","","A","","A","","A","3000","D","","A","D","","A","2015","D","HON"
"20191","03923764","14","0","5","02","D","105","D","2016","D","","A","36","D","01","D","275","D","3","D","","A","","A","3000","D","","A","","A","275","D","275","D","275","D","","A","","A","","A","3000","D","","A","D","","A","2017","D","DOD"
"20191","03923814","10","0","5","01","D","105","D","2018","D","","A","36","D","01","D","280","D","3","D","","A","","A","500","D","","A","","A","280","D","280","D","280","D","","A","","A","","A","500","D","","A","D","","A","2018","D","HYU"
"20191","03923964","8","0","5","01","D","105","D","2016","D","","A","36","D","07","D","","C","3","D","","A","","A","","C","","A","","A","400","F","400","F","400","F","","A","","A","","A","","B","","A","D","","A","2016","D","CHE"
"20191","03924594","10","0","5","01","D","105","D","2017","D","","A","36","D","11","D","650","D","3","D","","A","","A","","A","","A","","A","650","D","650","D","650","D","","A","","A","","A","","A","","A","D","","A","2017","D","ACU"
"20191","03924594","11","0","5","02","D","105","D","2015","D","","A","36","D","04","D","550","D","3","D","","A","","A","","A","","A","","A","550","D","550","D","550","D","","A","","A","","A","","A","","A","D","","A","2015","D","TOY"
"20191","03924734","25","0","5","01","D","105","D","2016","D","","A","36","D","03","D","221","D","3","D","","A","","A","","A","","A","02","D","221","D","221","D","221","D","","A","","A","","A","","A","","A","D","","A","2016","D","CHE"
"20191","03924734","26","0","1","02","D","105","D","2019","D","","A","36","D","02","D","277","D","3","D","","A","","A","4000","D","","A","","A","","A","","A","277","D","","A","","A","","A","4000","D","","A","D","","A","2019","D","HON"
"20191","03924894","14","0","5","01","D","105","D","2018","D","","A","48","D","04","D","502","D","3","D","","A","","A","7000","D","","A","","A","502","D","502","D","502","D","","A","","A","","A","7000","D","","A","D","","A","2018","D","LAN"
"20191","03925224","6","0","5","01","D","105","D","2017","D","","A","36","D","01","D","358","D","3","D","","A","","A","","A","","A","","A","358","D","358","D","358","D","","A","","A","","A","","A","","A","D","","A","2017","D","NIS"
"20191","03925824","4","0","5","01","D","105","D","2007","D","","A","35","D","02","D","300","D","3","D","","A","","A","1200","D","","A","","A","300","D","300","D","300","D","","A","","A","","A","1200","D","","A","D","","A","2018","D","CAD"
"20191","03925834","12","0","5","01","D","105","D","2018","D","","A","36","D","01","D","200","D","3","D","","A","","A","","A","","A","","A","200","D","200","D","200","D","","A","","A","","A","","A","","A","D","","A","2018","D","KIA"
"20191","03925924","38","0","5","01","D","105","D","2017","D","","A","36","D","05","D","209","D","3","D","","A","","A","1000","D","","A","","A","209","D","209","D","209","D","","A","","A","","A","1000","D","","A","D","","A","2017","D","HYU"
"20191","03926344","14","0","5","01","D","105","D","2016","D","","A","36","D","01","F","510","D","3","D","","A","","A","","A","","A","","A","510","D","510","D","510","D","","A","","A","","A","","A","","A","D","","A","2016","D","TOY"
"20191","03926464","20","0","5","01","D","105","D","2016","D","","A","36","D","05","D","338","D","3","D","","A","","A","","A","","A","01","D","338","D","338","D","338","D","","A","","A","","A","","A","","A","D","","A","2016","D","HON"
"20191","03926464","21","0","1","02","D","105","D","2019","D","","A","39","D","01","D","369","D","3","D","","A","","A","1500","D","","A","","A","","A","369","D","369","D","","A","","A","","A","1500","D","","A","D","","A","2019","D","HON"
"20191","03926514","28","0","5","01","D","105","D","2018","D","","A","36","D","03","D","348","D","3","D","","A","","A","2000","D","","A","","A","348","D","348","D","348","D","","A","","A","","A","2000","D","","A","D","","A","2018","D","ACU"
"20191","03926874","13","0","5","01","D","105","D","2018","D","","A","60","D","02","D","395","D","3","D","","A","","A","","A","","A","","A","395","D","395","D","395","D","","A","","A","","A","","A","","A","D","","A","2018","D","CHR"
"20191","03926874","14","0","5","02","D","105","D","2018","D","","A","36","D","02","D","400","D","3","D","","A","","A","1500","D","","A","","A","400","D","400","D","400","D","","A","","A","","A","1500","D","","A","D","","A","2018","D","CHR"
"20191","03927644","14","0","5","01","D","105","D","2011","D","","A","96","D","12","D","193","D","3","D","","A","","A","1500","D","","A","","A","193","D","193","D","193","D","","A","","A","","A","1500","D","","A","D","","A","2010","D","SUB"
"20191","03927644","15","0","5","02","D","105","D","2016","D","","A","96","D","09","D","653","D","3","D","","A","17000","D","","A","","A","","A","653","D","653","D","653","D","","A","","A","","A","","A","","A","D","","A","2016","D","FOR"
"20191","03927814","26","0","1","01","D","105","D","2017","D",".75","D","48","D","12","D","550","D","3","D","","A","","A","","A","","A","","A","550","D","550","D","550","D","","A","","A","","A","","A","","A","D","","A","2018","D","JEE"
"20191","03928184","14","0","5","01","D","105","D","2017","D","","A","36","D","04","D","330","D","3","D","","A","","A","","A","","A","","A","330","D","330","D","330","D","","A","","A","","A","","A","","A","D","","A","2017","D","TOY"
"20191","03928704","12","0","5","01","D","105","D","2018","D","","A","36","D","05","D","326","D","3","D","","A","","A","","A","","A","","A","326","D","326","D","326","D","","A","","A","","A","","A","","A","D","","A","2018","D","TOY"
"20191","03928704","14","0","5","03","D","105","D","2018","D","","A","36","D","11","D","426","D","3","D","","A","550","D","","A","","A","","A","426","D","426","D","426","D","","A","","A","","A","","A","","A","D","","A","2018","D","TOY"
"20191","03928974","8","0","5","01","D","105","D","2017","D","","A","36","D","06","D","349","D","3","D","","A","","A","","A","","A","","A","349","D","349","D","349","D","","A","","A","","A","","A","","A","D","","A","2017","D","HON"
"20191","03928994","6","0","1","01","D","105","D","2018","D","","A","36","D","02","D","","C","3","D","","A","","A","","A","","A","","A","","A","","A","372","F","","A","","A","","A","","A","","A","D","","A","2019","D","BMW"
