gender;age;bundesland;w1_dte;w1_q1;w1_q2_level1;w1_q2_level2;w1_q2_level3;w1_q3;w1_q4;w1_q5x1;w1_q5x2;w1_q5x3;w1_q5x4;w1_q5x5;w1_q6;w1_q7;w1_q8x1;w1_q8x2;w1_q8x3;w1_q8x4;w1_q10x1;w1_q10x2;w1_q10x3;w1_q10x4;w1_q10x5;w1_q10x6;w1_q12;w1_q13;w1_q14;w1_q16;w1_q17x1;w1_q17x2;w1_q17x3;w1_q17x4;w1_q17x5;w1_q19x1;w1_q19x2;w1_q19x3;w1_q19x4;w1_q19x5;w1_q19x6;w1_q19x7;w1_q19x8;w1_q20;w1_q21;w1_q23;w1_q24;w1_sd3;w1_sd5r;w1_sd6;w1_sd7;w1_sd8;w1_sd9;w1_sd10;w1_sd12;w1_sd15r;w1_sd16;w1_sd17;w1_sd21r;w1_jw;popnum
Male;57;Carinthia;76;2;reform of institutions;direct democracy;direct democracy (general);2;3;1;5;2;2;1;3;3;3;2;2;2;1;2;3;5;4;3;3;2;1;2;2;3;5;2;4;2;3;3;88;4;3;2;2;FALSE;1;10;SPÖ;yes;Austria;vocational training/school;3,900 and more;employed;employed, more than 35h weekly;1;NA;Protestant church;only on special holidays;yes;2;no;50.000-
Male;56;Vorarlberg;76;3;immigration;asylum/refugees;asylum / admission of refugees;3;4;1;1;3;2;3;3;4;2;2;2;3;1;5;5;4;1;5;8;1;NA;3;3;3;1;2;3;1;2;5;3;1;1;1;2;FALSE;3;10;FPÖ;yes;Austria;vocational training/school;don't know;employed;employed, more than 35h weekly;1;NA;Roman-Catholic church;less often;no;1;no;<2.500
Female;25;Styria;75;2;immigration;asylum/refugees;asylum / admission of refugees;2;2;1;5;2;4;1;2;3;1;1;1;3;1;2;2;5;4;5;5;2;2;NA;4;3;4;1;5;3;1;5;2;4;3;3;1;FALSE;3;10;ÖVP;yes;Austria;AHS with diploma;1,500 up to 1,650 ;employed;employed, more than 35h weekly;1;NA;none;less often;no;1;no;50.000-
Male;57;Vienna;75;1;not classifiable;not classifiable;not classifiable;3;3;1;5;2;5;1;2;3;1;1;2;1;3;1;1;5;5;3;2;1;NA;3;1;4;3;1;3;1;1;3;1;5;1;1;4;TRUE;2;10;SPÖ;yes;don't know;Magister/Master;refused;employed;employed, more than 35h weekly;5;NA;other;at least once a month;no;3;no;1M.+
Male;47;Styria;75;2;immigration;asylum/refugees;asylum / admission of refugees;2;3;3;2;4;3;2;2;2;1;1;1;1;2;3;3;4;4;4;5;1;NA;2;5;3;2;2;3;2;3;3;4;4;4;4;2;FALSE;3;9;ÖVP;yes;Austria;vocational training/school;3,300 up to 3,600;employed;employed, more than 35h weekly;1;NA;Roman-Catholic church;only on special holidays;yes;4;no;2.500-
Male;74;Vienna;75;2;immigration;asylum/refugees;asylum / admission of refugees;3;3;1;1;5;1;1;2;4;1;1;1;3;1;5;5;1;1;5;10;1;NA;1;5;1;1;1;4;3;3;3;3;1;1;1;88;FALSE;3;10;FPÖ;yes;Austria;AHS with diploma;2,700 up to 3,000;retired;NA;NA;public official;Protestant church;at least once a month;no;1;no;1M.+
Male;62;Upper Austria;75;1;education and culture;education general;education / education policy (general);2;3;1;4;1;1;2;1;2;3;3;2;1;2;3;3;4;4;2;0;1;NA;2;1;4;3;3;4;1;2;3;4;4;1;4;3;FALSE;3;10;SPÖ;yes;Austria;vocational training/school;3,000 up to 3,300;retired;NA;NA;employee;Roman-Catholic church;never;no;2;no;<2.500
Male;53;Burgenland;75;2;immigration;asylum/refugees;asylum / admission of refugees;4;4;3;2;2;3;2;3;3;3;3;2;3;1;3;4;3;2;4;5;2;2;NA;3;3;1;2;5;3;3;2;1;3;1;3;2;TRUE;2;10;other;yes;Austria;vocational training/school;2,250 up to 2,400;employed;employed, more than 35h weekly;3;NA;Roman-Catholic church;less often;yes;2;no;<2.500
Female;43;Styria;75;2;immigration;immigration general;immigration / immigrants / foreigners (general);2;3;3;2;4;4;2;1;3;1;1;1;2;1;3;3;5;1;5;7;1;NA;2;4;1;2;1;5;4;2;4;4;2;2;2;4;FALSE;3;10;ÖVP;yes;Austria;Bachelor;3,900 and more;employed;employed, more than 35h weekly;1;NA;Roman-Catholic church;daily;yes;3;no;10.000-
Female;65;Carinthia;75;1;economy;job market/unemployment;unemployment (general);1;2;2;2;2;3;2;1;2;2;2;2;2;1;3;3;2;3;4;3;1;NA;1;3;2;3;2;3;3;3;2;5;2;3;3;1;FALSE;3;10;SPÖ;yes;Austria;vocational middle school ;3,900 and more;retired;NA;NA;employee;Roman-Catholic church;only on special holidays;yes;2;no;10.000-
Female;53;Vorarlberg;75;2;politics;election campaign;profiles of politicians;3;3;2;2;3;4;3;2;3;1;1;1;1;1;2;3;4;3;4;4;1;NA;3;4;5;4;3;4;2;4;4;2;4;3;2;1;FALSE;3;10;NEOS;yes;Austria;primary school/secondary education first stage;3,000 up to 3,300;employed;employed,15 - 35h weekly;1;NA;Roman-Catholic church;less often;no;2;no;10.000-
Male;66;Vorarlberg;75;2;immigration;immigration general;immigration / immigrants / foreigners (general);2;2;1;2;4;3;3;2;2;1;1;1;1;1;3;2;5;4;5;6;2;1;3;5;2;4;2;5;3;4;2;4;5;1;3;1;TRUE;2;10;NEOS;yes;Austria;vocational training/school;refused;retired;NA;NA;employee;Roman-Catholic church;at least once a month;no;2;no;5.000-
Female;75;Carinthia;75;3;immigration;asylum/refugees;asylum / admission of refugees;4;3;1;5;1;4;88;2;88;1;1;1;2;1;5;5;88;1;5;88;1;NA;3;1;1;1;1;2;5;5;1;4;4;1;4;5;FALSE;4;10;FPÖ;yes;Bosnia, Croatia, Serbia, Former Yugoslavia;vocational training/school;1,350 up to 1,500;retired;NA;NA;employee;Roman-Catholic church;at least once a month;no;1;no;50.000-
Female;34;Lower Austria;74;2;reform of institutions;political system/governmental system;calling early elections;2;3;2;3;2;3;3;1;1;1;1;1;2;2;2;2;4;3;3;3;2;2;NA;3;3;4;2;3;4;4;3;3;3;3;3;3;TRUE;2;10;ÖVP;yes;Austria;Magister/Master;3,900 and more;on leave;NA;NA;employee;Roman-Catholic church;at least once a month;no;2;no;5.000-
Female;60;Styria;74;1;reform of institutions;political system/governmental system;calling early elections;3;3;1;3;3;3;1;2;3;1;1;1;3;3;2;3;2;5;3;4;2;1;2;5;2;3;1;3;3;3;3;2;3;2;1;3;TRUE;2;10;SPÖ;yes;Austria;vocational middle school ;2,700 up to 3,000;employed;employed,15 - 35h weekly;1;NA;Roman-Catholic church;at least once a month;no;2;no;5.000-
Female;48;Upper Austria;74;2;environment protection;environmentalism (gen.);environmental protection/sustainability/conservation (general);2;2;1;4;3;4;1;2;3;2;2;1;2;3;2;3;4;4;3;5;1;NA;3;3;4;4;1;4;3;3;3;4;4;2;3;2;TRUE;2;10;Greens;yes;Austria;university-related college ;2,400 up to 2,700;employed;employed, more than 35h weekly;3;NA;Roman-Catholic church;only on special holidays;yes;1;no;50.000-
Male;63;Tyrol;74;2;immigration;asylum/refugees;asylum / admission of refugees;2;3;1;5;2;3;1;2;2;1;1;1;1;2;1;2;4;4;4;2;1;NA;1;2;5;4;1;3;3;4;2;3;4;4;3;3;TRUE;2;10;SPÖ;yes;Austria;AHS with diploma;2,700 up to 3,000;employed;employed, more than 35h weekly;3;NA;Protestant church;never;yes;1;no;5.000-
Male;61;Tyrol;74;1;reform of institutions;political system/governmental system;calling early elections;3;3;4;1;4;1;4;4;4;1;1;1;3;1;4;4;3;1;5;7;2;2;NA;5;3;3;3;4;3;3;4;1;2;2;1;2;TRUE;2;10;FPÖ;yes;Austria;College;don't know;employed;employed, less than 15h weekly;1;NA;none;less often;no;2;no;2.500-
Male;46;Carinthia;73;3;don't know;don't know;don't know;2;3;1;1;1;3;1;3;4;1;1;1;3;1;5;5;3;1;5;8;1;NA;3;5;1;1;1;5;3;1;5;1;5;3;1;1;TRUE;2;10;FPÖ;yes;Austria;vocational training/school;3,900 and more;employed;employed, more than 35h weekly;1;NA;none;only on special holidays;no;3;no;5.000-
Female;54;Carinthia;73;1;security;fight against crime (gen.);crime (general);2;2;5;1;3;2;1;2;4;1;1;1;3;1;4;5;4;2;5;8;2;1;2;5;88;1;3;5;5;88;4;1;1;4;1;2;FALSE;1;10;ÖVP;yes;Austria;vocational training/school;3,900 and more;employed;employed,15 - 35h weekly;1;NA;Roman-Catholic church;only on special holidays;no;4;no;50.000-
Female;74;Styria;73;1;immigration;immigration general;immigration / immigrants / foreigners (general);1;3;4;2;3;3;4;1;4;3;1;1;2;1;4;5;5;2;4;5;2;1;2;4;1;1;1;3;2;4;4;3;5;5;2;3;FALSE;1;10;ÖVP;yes;Austria;BHS with diploma ;1,650 up to 1,800;retired;NA;NA;employee;none;never;no;1;no;2.500-
Female;57;Styria;73;1;immigration;asylum/refugees;asylum / admission of refugees;2;4;5;5;5;2;1;4;4;1;1;1;3;1;5;5;1;1;5;10;1;NA;1;1;1;1;1;5;5;1;5;5;1;1;1;5;FALSE;3;10;FPÖ;yes;Austria;vocational training/school;1.050 up to 1,200;retired;NA;NA;employee;other;less often;no;2;no;2.500-
Male;55;Upper Austria;73;1;welfare state;welfare state (gen.);redistribution (specific);2;2;1;5;1;5;1;3;2;2;3;1;2;2;1;2;4;4;88;1;1;NA;1;2;2;2;1;4;4;1;4;4;4;2;4;1;TRUE;2;10;SPÖ;yes;Austria;Bachelor;1,950 up to 2,100;employed;employed, more than 35h weekly;6;NA;Roman-Catholic church;only on special holidays;no;1;no;2.500-
Male;69;Styria;73;3;economy;job market/unemployment;unemployment (general);3;3;1;2;5;2;1;4;4;1;1;1;3;1;4;4;3;1;5;5;1;NA;2;5;1;3;2;4;3;1;4;1;2;1;1;3;TRUE;2;10;ÖVP;yes;Austria;vocational middle school ;2,400 up to 2,700;retired;NA;NA;public official;Roman-Catholic church;once a week;no;4;no;<2.500
Male;36;Styria;73;1;immigration;asylum/refugees;asylum / admission of refugees;4;3;1;5;2;5;1;2;2;1;1;1;2;1;1;2;5;4;3;5;1;NA;1;5;1;5;3;1;5;2;1;5;1;3;5;5;FALSE;3;10;other;yes;Austria;vocational training/school;2,100 up to 2,250;employed;employed, more than 35h weekly;2;NA;Roman-Catholic church;less often;yes;2;no;5.000-
Female;55;Burgenland;73;2;immigration;asylum/refugees;asylum / admission of refugees;2;3;1;5;1;4;2;2;2;1;1;2;3;1;2;3;5;3;4;88;1;NA;1;1;4;1;1;1;3;3;2;3;3;2;4;2;TRUE;2;10;ÖVP;yes;Austria;vocational training/school;2,700 up to 3,000;retired;NA;NA;self-employed without employees;Roman-Catholic church;once a week;no;3;no;<2.500
Male;38;Upper Austria;72;2;immigration;asylum/refugees;asylum / admission of refugees;2;3;5;3;3;5;2;4;4;1;1;1;3;1;5;4;3;1;5;5;2;1;2;5;1;1;1;4;5;1;4;5;4;1;1;1;TRUE;2;10;ÖVP;yes;Austria;vocational training/school;refused;employed;employed, more than 35h weekly;2;NA;Roman-Catholic church;at least once a month;no;3;no;2.500-
Female;42;Salzburg;72;3;immigration;immigration general;immigration / immigrants / foreigners (general);4;3;2;2;3;2;2;2;3;1;1;1;1;2;4;4;4;2;4;6;1;NA;2;4;2;5;2;3;2;2;3;3;2;3;2;2;TRUE;2;9;ÖVP;yes;Austria;AHS with diploma;2,700 up to 3,000;employed;employed, more than 35h weekly;1;NA;Roman-Catholic church;only on special holidays;yes;2;no;50.000-
Male;23;Vienna;70;2;ideology;party ideology;right-wing / nationalist;3;4;1;5;2;5;1;1;2;2;3;4;1;3;2;2;4;5;2;0;88;NA;NA;1;4;5;2;4;4;2;4;5;5;5;4;3;FALSE;3;10;SPÖ;yes;Austria;AHS with diploma;2,100 up to 2,250;a student at university;NA;NA;NA;Roman-Catholic church;less often;no;NA;no;1M.+
Female;65;Upper Austria;96;2;politics;election campaign;profiles of politicians;2;3;1;4;2;2;1;2;2;2;2;2;3;2;2;4;4;3;88;3;1;NA;1;3;3;4;1;2;3;3;2;3;5;3;1;3;TRUE;2;10;SPÖ;yes;Austria;vocational middle school ;1.050 up to 1,200;retired;NA;NA;employee;none;never;yes;1;no;5.000-
Female;78;Upper Austria;100;3;education and culture;education general;education / education policy (general);4;4;1;3;2;5;1;2;2;1;1;1;1;2;4;3;5;4;4;0;1;NA;2;3;2;2;1;2;5;3;2;5;2;3;88;2;FALSE;88;10;SPÖ;yes;Austria;elementary school or less;1.050 up to 1,200;retired;NA;NA;blue-collar worker;Roman-Catholic church;at least once a month;no;1;no;2.500-
Female;66;Styria;79;3;immigration;immigration general;immigration / immigrants / foreigners (general);3;3;1;4;2;4;1;2;2;1;1;1;1;2;2;2;5;4;88;5;1;NA;2;1;2;2;1;3;88;4;2;4;4;4;1;3;FALSE;88;10;ÖVP;yes;Austria;university-related college ;2,400 up to 2,700;retired;NA;NA;public official;Roman-Catholic church;only on special holidays;no;2;no;5.000-
Female;54;Upper Austria;93;2;don't know;don't know;don't know;3;3;1;3;3;3;1;3;3;1;1;2;3;2;4;3;4;3;88;5;1;NA;2;4;2;3;3;3;3;2;4;2;4;2;3;4;FALSE;3;9;ÖVP;yes;Austria;vocational middle school ;3,600 up to 3,900;employed;employed, more than 35h weekly;5;NA;Roman-Catholic church;at least once a month;no;5;no;<2.500
Female;56;Lower Austria;123;1;budget;budget, government debt;financial policy (general);3;3;1;2;1;1;1;3;4;1;1;1;4;1;5;2;5;1;5;10;1;NA;2;1;1;1;1;4;1;1;5;1;3;1;1;1;FALSE;3;10;FPÖ;yes;Austria;vocational training/school;1,350 up to 1,500;employed;employed,15 - 35h weekly;1;NA;none;never;no;1;no;5.000-
Female;73;Salzburg;74;2;formation of government;preference of coalition/formation of government;government formation / coalition composition (general);2;3;1;3;1;3;1;2;3;1;1;1;1;2;2;2;5;4;3;6;1;NA;2;2;2;5;1;4;4;4;2;3;4;4;2;2;FALSE;3;10;ÖVP;yes;Austria;BHS with diploma ;3,300 up to 3,600;retired;NA;NA;public official;Roman-Catholic church;at least once a month;no;3;no;10.000-
Male;48;Vienna;136;3;reform of institutions;behaviour of politians/corruption/scandals;political culture / sense of decency in politics / modest behavior of politicians;3;3;3;3;1;5;4;3;3;2;3;2;3;1;3;3;3;1;4;6;2;1;3;5;2;4;2;3;4;4;4;99;5;4;4;5;FALSE;1;10;ÖVP;yes;Austria;AHS with diploma;2,700 up to 3,000;employed;employed, more than 35h weekly;1;NA;Protestant church;only on special holidays;no;3;no;1M.+
Female;70;Carinthia;100;2;welfare state;nursing & care/disabled persons;constraints on care allowances / contribution by relatives;2;3;1;4;2;4;2;2;3;1;1;1;2;2;4;4;4;2;88;88;1;NA;2;4;2;2;2;4;2;4;2;4;2;2;2;2;FALSE;3;10;SPÖ;yes;Austria;vocational training/school;900 up to 1,050;retired;NA;NA;employee;Roman-Catholic church;only on special holidays;no;1;no;50.000-
Female;27;Lower Austria;101;2;reform of institutions;political system/governmental system;calling early elections;3;3;2;4;1;4;1;3;3;2;1;1;3;1;5;4;1;1;5;5;1;NA;1;2;2;1;1;4;2;2;4;2;4;1;1;2;TRUE;2;10;FPÖ;yes;Austria;primary school/secondary education first stage;2,700 up to 3,000;employed;employed, more than 35h weekly;6;NA;Roman-Catholic church;at least once a month;yes;5;no;10.000-
Female;70;Vorarlberg;75;2;welfare state;pension;pensioners / elderly people (general);3;3;2;4;4;3;2;2;2;2;2;2;3;1;3;4;5;3;3;10;1;NA;1;4;4;1;1;5;5;4;4;4;5;3;5;1;FALSE;3;10;ÖVP;yes;Austria;vocational training/school;1.050 up to 1,200;retired;NA;NA;employee;Roman-Catholic church;at least once a month;no;1;no;2.500-
Male;65;Lower Austria;130;2;security;fight against crime (gen.);crime (general);1;3;2;1;1;3;1;2;4;1;1;1;3;1;5;4;2;2;5;5;2;1;2;2;1;1;1;2;1;1;4;1;1;1;1;2;TRUE;2;10;ÖVP;yes;Austria;vocational middle school ;3,300 up to 3,600;retired;NA;NA;employee;none;never;no;1;no;10.000-
Female;21;Vienna;115;2;infrastructure;infrastructure (gen.);traffic / mobility (general);3;3;2;3;2;4;3;3;3;2;2;2;3;1;2;2;3;2;5;6;1;NA;2;3;3;3;2;2;3;3;3;4;2;1;3;3;FALSE;3;10;FPÖ;yes;Austria;AHS with diploma;2,700 up to 3,000;employed;employed,15 - 35h weekly;1;NA;none;never;no;4;no;1M.+
Female;60;Vienna;136;2;reform of institutions;political system/governmental system;calling early elections;3;3;2;2;1;5;1;2;2;1;1;1;2;1;4;4;4;2;3;5;2;2;NA;2;3;3;2;3;5;4;3;3;3;4;2;3;FALSE;3;10;SPÖ;yes;Austria;BHS with diploma ;2,250 up to 2,400;employed;employed, more than 35h weekly;3;NA;none;never;no;1;no;1M.+
Female;19;Upper Austria;91;3;immigration;asylum/refugees;asylum / admission of refugees;3;4;2;2;3;2;2;3;4;2;3;3;2;1;2;3;2;2;2;7;2;1;2;2;2;2;2;2;3;2;4;5;5;5;4;3;FALSE;3;10;FPÖ;yes;Austria;vocational training/school;1,350 up to 1,500;unemployed or seeking for work;NA;NA;refused;Christian-orthodox church;only on special holidays;no;NA;yes;NA
Male;61;Upper Austria;82;3;immigration;immigration general;immigration / immigrants / foreigners (general);2;4;2;2;2;3;1;3;2;1;2;2;4;99;4;4;1;1;5;5;1;NA;2;4;4;1;1;3;3;3;4;2;2;4;4;3;FALSE;4;10;ÖVP;yes;Austria;vocational training/school;2,400 up to 2,700;other;NA;NA;NA;Roman-Catholic church;once a week;yes;2;no;5.000-
Female;77;Tyrol;114;1;immigration;immigration general;immigration / immigrants / foreigners (general);2;3;1;5;1;5;2;2;2;1;2;1;1;3;3;3;3;3;3;4;1;NA;1;5;88;99;2;3;5;3;3;5;5;3;88;2;FALSE;88;10;SPÖ;yes;Austria;vocational middle school ;refused;retired;NA;NA;employee;none;never;no;2;no;50.000-
Female;63;Tyrol;75;4;immigration;asylum/refugees;asylum / admission of refugees;5;4;3;1;3;3;2;2;3;1;2;2;2;2;4;2;2;1;5;5;1;NA;3;3;1;3;1;4;3;3;3;3;3;2;3;3;FALSE;88;10;ÖVP;yes;Austria;vocational training/school;1,200 up to 1,350;retired;NA;NA;self-employed without employees;Roman-Catholic church;at least once a month;no;1;no;50.000-
Female;77;Lower Austria;93;3;welfare state;health system;health care system (general);4;3;3;3;1;1;2;88;2;1;1;1;3;1;5;3;1;1;5;5;1;NA;2;1;2;5;3;5;1;3;5;1;1;1;3;3;FALSE;88;10;FPÖ;yes;Austria;primary school/secondary education first stage;750 up to 900;retired;NA;NA;self-employed with employees;Roman-Catholic church;at least once a month;no;1;no;2.500-
Male;80;Lower Austria;114;1;immigration;immigration general;immigration / immigrants / foreigners (general);2;3;2;1;3;2;5;2;2;1;1;1;1;1;4;4;4;1;88;7;1;NA;2;4;2;3;2;4;1;4;3;5;2;5;3;2;TRUE;2;10;ÖVP;yes;Poland, Slovakia, Slovenia, Czech Republic, Hungary;BHS with diploma ;1,950 up to 2,100;retired;NA;NA;farmer;Roman-Catholic church;at least once a month;no;2;no;<2.500
Male;64;Salzburg;110;3;immigration;asylum/refugees;asylum / admission of refugees;4;3;1;1;1;5;3;2;4;1;1;1;3;1;5;5;1;1;5;5;2;1;NA;88;1;1;1;4;3;1;5;3;3;1;3;3;FALSE;3;9;FPÖ;yes;Austria;vocational training/school;1,350 up to 1,500;retired;NA;NA;farmer;Roman-Catholic church;less often;no;2;no;2.500-
Male;49;Burgenland;97;1;budget;taxes general;tax policy (general);3;3;1;4;1;5;1;1;2;1;2;2;1;2;3;2;5;4;1;2;1;NA;1;2;4;4;3;2;3;2;2;5;4;4;5;2;TRUE;2;10;SPÖ;yes;Austria;Bachelor;2,700 up to 3,000;employed;employed, more than 35h weekly;1;NA;Roman-Catholic church;less often;yes;1;no;<2.500
Female;40;Lower Austria;97;2;immigration;asylum/refugees;asylum / admission of refugees;2;4;2;2;5;3;1;3;4;2;2;1;4;1;5;5;2;1;5;8;2;1;3;3;3;1;3;5;1;1;5;2;5;1;3;2;FALSE;1;9;FPÖ;yes;Austria;vocational middle school ;1,950 up to 2,100;employed;employed,15 - 35h weekly;3;NA;Roman-Catholic church;only on special holidays;no;NA;no;5.000-
Male;21;Salzburg;93;4;reform of institutions;political system/governmental system;reference to another country;2;5;4;4;4;4;4;4;4;3;99;88;1;99;3;99;5;88;4;5;88;NA;NA;2;88;2;2;99;5;88;4;4;99;2;88;99;FALSE;88;7;other;yes;other;NA;3,900 and more;refused;NA;NA;NA;Islamic religious community;refused;refused;NA;no;NA
Female;52;Vienna;128;1;education and culture;education general;education / education policy (general);3;3;1;5;1;5;4;1;3;3;3;2;2;2;1;1;4;4;2;3;1;NA;3;1;4;4;1;4;4;1;2;3;5;3;1;2;FALSE;3;10;Greens;yes;Austria;Magister/Master;2,400 up to 2,700;employed;employed,15 - 35h weekly;3;NA;Roman-Catholic church;at least once a month;yes;2;no;1M.+
Male;67;Styria;125;2;security;not classifiable;not classifiable;2;3;2;4;3;5;3;2;3;1;1;1;2;2;4;3;3;3;4;5;1;NA;2;1;2;4;1;1;4;5;4;2;3;3;3;3;FALSE;3;10;ÖVP;yes;Austria;BHS with diploma ;3,900 and more;retired;NA;NA;employee;Roman-Catholic church;only on special holidays;no;2;no;50.000-
Male;45;Vienna;100;3;economy;job market/unemployment;unemployment (general);4;3;2;4;3;3;2;3;3;2;2;2;3;1;4;4;3;2;3;6;1;NA;2;4;2;2;3;4;3;3;4;3;3;2;3;2;TRUE;2;7;FPÖ;yes;Austria;vocational training/school;2,250 up to 2,400;employed;employed, more than 35h weekly;2;NA;none;never;yes;2;no;1M.+
Female;25;Upper Austria;93;2;Europe;EU: general;European integration (general);4;4;1;5;1;3;1;4;3;1;4;2;2;1;3;5;3;2;4;5;2;1;2;4;4;3;2;5;2;1;5;1;5;1;4;1;FALSE;88;10;ÖVP;yes;Austria;vocational training/school;3,300 up to 3,600;employed;employed, more than 35h weekly;2;NA;none;never;no;NA;no;50.000-
Female;23;Tyrol;94;3;immigration;asylum/refugees;asylum / admission of refugees;4;3;1;1;3;3;1;3;4;2;1;1;3;1;3;2;2;1;88;6;88;NA;NA;2;1;1;1;5;2;1;88;88;3;1;1;4;FALSE;88;10;FPÖ;yes;Austria;vocational middle school ;3,000 up to 3,300;employed;employed,15 - 35h weekly;1;NA;Roman-Catholic church;only on special holidays;no;NA;no;2.500-
Male;76;Lower Austria;129;2;immigration;immigration general;immigration / immigrants / foreigners (general);2;2;2;4;1;2;2;2;3;1;1;1;1;1;1;2;4;4;2;2;2;1;2;4;4;3;2;3;4;4;2;4;4;4;4;4;FALSE;3;10;SPÖ;yes;Austria;Doctorate/PhD;3,900 and more;employed;employed,15 - 35h weekly;5;NA;Roman-Catholic church;never;no;2;no;10.000-
Male;70;Tyrol;75;1;politics;election campaign;party campaigns (general);3;3;3;1;4;4;5;1;4;1;2;1;1;1;2;5;5;1;5;7;1;NA;1;4;1;2;1;3;4;2;5;4;4;1;1;3;FALSE;3;10;ÖVP;yes;Austria;Doctorate/PhD;2,700 up to 3,000;retired;NA;NA;public official;Roman-Catholic church;once a week;yes;2;no;50.000-
